 AGENTS.md                                          |    3 +
 docs/kb/decisions/ADR-0013-external-review-gate.md |   53 +
 .../2026-07-27T160119-db91ade6-4054859-brief.md    |   20 +
 ...2026-07-27T160119-db91ade6-4054859-diffstat.txt |    8 +
 ...26-07-27T160119-db91ade6-4054859-gpt-5.6-sol.md |    5 +
 .../2026-07-27T160119-db91ade6-4054859-kimi-k3.md  |   28 +
 ...26-07-27T160119-db91ade6-4054859-reviewed.patch |  765 +++
 .../2026-07-27T161040-9c7432d7-4085638-brief.md    |   20 +
 ...2026-07-27T161040-9c7432d7-4085638-diffstat.txt |   10 +
 ...26-07-27T161040-9c7432d7-4085638-gpt-5.6-sol.md |    5 +
 .../2026-07-27T161040-9c7432d7-4085638-kimi-k3.md  |   38 +
 ...26-07-27T161040-9c7432d7-4085638-reviewed.patch |  854 +++
 .../2026-07-28T065154-c6ff52c4-25170-brief.md      |   20 +
 .../2026-07-28T065154-c6ff52c4-25170-diffstat.txt  |   23 +
 ...2026-07-28T065154-c6ff52c4-25170-gpt-5.6-sol.md |    7 +
 .../2026-07-28T065154-c6ff52c4-25170-kimi-k3.md    |   30 +
 ...2026-07-28T065154-c6ff52c4-25170-reviewed.patch | 2984 ++++++++++
 .../2026-07-28T070340-00e569c8-47204-brief.md      |   20 +
 .../2026-07-28T070340-00e569c8-47204-diffstat.txt  |   28 +
 ...2026-07-28T070340-00e569c8-47204-gpt-5.6-sol.md |    5 +
 .../2026-07-28T070340-00e569c8-47204-kimi-k3.md    |   36 +
 ...2026-07-28T070340-00e569c8-47204-reviewed.patch | 6165 ++++++++++++++++++++
 docs/show/chi-loop-options.md                      |   18 +
 docs/show/diag/chi-loop-urban__setup.png.json      |    2 +
 hooks/pre-commit                                   |    1 +
 scripts/chicago/corridorspeed.py                   |   47 +-
 scripts/chicago/mkquiz.py                          |  150 +-
 scripts/external-review.sh                         |  104 +-
 scripts/show/build-quiz.sh                         |   84 +-
 scripts/show/mkcongestionmap.py                    |  407 ++
 scripts/whatif.py                                  |  150 +-
 viz/public/quiz.html                               |    2 +-
 32 files changed, 12043 insertions(+), 49 deletions(-)
